ID,1m_ID=1,10m_ID=1,10m_ID=10,10m_ID=10,20m_ID=20,30m_ID=30
1,1.057373047,1.003387451,1.092956543,1.004516602,1.083190918,1.19317627
2,0.981933594,0.980285645,1.04107666,1.040435791,1.015106201,1.197418213
3,1.039367676,0.978546143,1.007324219,1.042602539,1.016448975,1.243133545
4,1.079162598,1.34777832,1.026855469,1.040008545,1.032226563,1.056121826
5,0.993438721,0.988586426,1.166351318,1.027374268,1.013031006,1.062286377
6,0.994140625,1.002990723,1.028808594,1.011932373,1.018737793,1.054046631
7,0.989440918,1.014343262,1.148742676,1.022491455,1.034576416,1.323669434
8,0.984680176,1.013824463,1.127258301,1.025177002,1.021636963,1.06161499
9,0.988372803,1.007751465,1.078460693,1.036651611,1.359985352,1.053649902
10,0.996154785,1.019927979,1.030700684,1.018432617,1.031738281,1.052276611
11,1.010406494,1.03108354,1.074853516,1.02696228,1.062667847,1.12973938
